"tipoTienda","tieneFolleto","especial","codigoProvincia","codigoTienda","idTienda","posicionX","fechaVigenciaFolleto","posicionY"
0,TRUE,FALSE,5,7083,1001586,"40.3138109","18/01/2023","-7.4568547"
0,TRUE,FALSE,12,7090,1001593,"39.51423","18/01/2023","-7.64782"
0,TRUE,FALSE,11,7092,1001595,"39.06797","18/01/2023","-8.86802"
0,TRUE,FALSE,15,7096,1001599,"38.63197","18/01/2023","-9.16074"
0,TRUE,FALSE,5,7098,1001601,"39.80959","18/01/2023","-8.1942"
0,TRUE,FALSE,14,7103,1001606,"39.71609","18/01/2023","-8.54736"
0,TRUE,FALSE,11,7109,1001612,"38.75834","18/01/2023","-9.26462"
0,TRUE,FALSE,12,7111,1001614,"39.295594","18/01/2023","-7.431659"
0,TRUE,FALSE,15,7701,1001682,"38.674792","18/01/2023","-9.16134"
0,TRUE,FALSE,13,2,1001187,"41.167013","18/01/2023","-8.593926"
0,TRUE,FALSE,13,4,1001189,"41.192247","18/01/2023","-8.633376"
0,TRUE,FALSE,13,10,1001195,"41.166072222","18/01/2023","-8.597822222"
0,TRUE,FALSE,3,11,1001196,"41.548030556","18/01/2023","-8.420977778"
0,TRUE,FALSE,13,19,1001204,"41.39129","18/01/2023","-8.76051"
0,TRUE,FALSE,13,22,1001207,"41.172236111","18/01/2023","-8.612877778"
0,TRUE,FALSE,3,34,1001219,"41.442758","18/01/2023","-8.289238"
0,TRUE,FALSE,13,35,1001220,"41.151091667","18/01/2023","-8.600575"
0,TRUE,FALSE,13,37,1001222,"41.098752778","18/01/2023","-8.591055556"
0,TRUE,FALSE,13,51,1001236,"41.18841","18/01/2023","-8.59679"
0,TRUE,FALSE,3,73,1001254,"41.485011111","18/01/2023","-8.771055556"
0,TRUE,FALSE,13,80,1001260,"41.217230556","18/01/2023","-8.55645"
0,FALSE,FALSE,11,2001,1001339,"38.71036389",NA,"-9.15263056"
0,FALSE,FALSE,11,2043,1001343,"38.71748889",NA,"-9.130161111"
0,TRUE,FALSE,11,2045,1001345,"38.73811667","18/01/2023","-9.134672222"
0,FALSE,FALSE,11,2046,1001346,"38.69892778",NA,"-9.228291667"
0,TRUE,FALSE,11,2047,1001347,"38.75991667","18/01/2023","-9.24095"
0,TRUE,FALSE,15,2048,1001348,"38.68273056","18/01/2023","-9.157330556"
0,FALSE,FALSE,11,2049,1001349,"38.72682222",NA,"-9.146636111"
0,TRUE,FALSE,11,2050,1001350,"38.75640833","18/01/2023","-9.254586111"
0,TRUE,FALSE,11,2051,1001351,"38.7154545","18/01/2023","-9.1645984"
0,TRUE,FALSE,11,2059,1001353,"38.79676111","18/01/2023","-9.342019444"
0,TRUE,FALSE,11,2063,1001356,"38.69458","18/01/2023","-9.37037"
0,TRUE,FALSE,15,2068,1001359,"38.65191111","18/01/2023","-9.148761111"
0,TRUE,FALSE,10,2077,1001364,"39.746730556","18/01/2023","-8.934511111"
0,TRUE,FALSE,11,2078,1001365,"38.89624167","18/01/2023","-9.038319444"
0,FALSE,FALSE,11,2083,1001369,"38.70779166",NA,"-9.144320277"
0,TRUE,FALSE,11,2089,1001374,"38.70484444","18/01/2023","-9.177466667"
0,TRUE,FALSE,15,2102,1001377,"38.66915","18/01/2023","-9.159363889"
0,TRUE,FALSE,11,2104,1001379,"38.703474","18/01/2023","-9.197153"
0,TRUE,FALSE,11,2107,1001380,"38.801707","18/01/2023","-9.129078"
0,TRUE,FALSE,11,2108,1001381,"38.75833889","18/01/2023","-9.234336111"
0,FALSE,FALSE,11,2114,1001382,"38.71074444",NA,"-9.145619444"
0,TRUE,FALSE,11,2115,1001383,"38.72598333","18/01/2023","-9.134311111"
0,TRUE,FALSE,11,2116,1001384,"38.74312222","18/01/2023","-9.133838889"
0,TRUE,FALSE,11,2128,1001389,"38.791283","18/01/2023","-9.176565"
0,TRUE,FALSE,15,2129,1001390,"38.64199722","18/01/2023","-9.153505556"
0,FALSE,FALSE,11,2133,1001392,"38.70123056",NA,"-9.421394444"
0,TRUE,FALSE,11,2134,1001393,"38.745155556","18/01/2023","-9.197952778"
0,TRUE,FALSE,15,2138,1001394,"38.65554444","18/01/2023","-9.155575"
0,FALSE,FALSE,11,2142,1001398,"38.71926667",NA,"-9.135488889"
0,FALSE,FALSE,15,2159,1001405,"41.178659",NA,"-8.688948"
0,TRUE,FALSE,11,2161,1001407,"38.760158333","18/01/2023","-9.237558333"
0,TRUE,FALSE,8,2166,1001411,"37.101636","18/01/2023","-8.36298"
0,FALSE,FALSE,11,2185,1001419,"38.76860556",NA,"-9.301197222"
0,TRUE,FALSE,13,2201,1001423,"41.227799","18/01/2023","-8.618921"
0,FALSE,FALSE,13,2202,1001424,"41.146052778",NA,"-8.604380556"
0,FALSE,FALSE,13,2253,1001426,"41.1450545",NA,"-8.6123715"
0,TRUE,FALSE,13,2256,1001428,"41.1805","18/01/2023","-8.582686111"
0,TRUE,FALSE,1,2264,1001431,"40.838597222","18/01/2023","-8.478830556"
0,TRUE,FALSE,1,2284,1001434,"41.007861111","18/01/2023","-8.639888889"
0,FALSE,FALSE,13,2305,1001439,"41.149377778",NA,"-8.607683333"
0,TRUE,FALSE,13,2309,1001441,"41.193422222","18/01/2023","-8.609838889"
0,TRUE,FALSE,13,2312,1001443,"41.146886","18/01/2023","-8.591293"
0,TRUE,FALSE,13,2344,1001454,"41.158681","18/01/2023","-8.580005"
0,TRUE,FALSE,13,2381,1001467,"41.277072222","18/01/2023","-8.379577778"
0,TRUE,FALSE,13,2387,1001469,"41.162146","18/01/2023","-8.632845"
0,TRUE,FALSE,10,7001,1001506,"39.84602","18/01/2023","-8.70645"
0,TRUE,FALSE,11,7003,1001508,"39.238325","18/01/2023","-9.310305556"
0,TRUE,FALSE,10,7005,1001510,"39.81691","18/01/2023","-8.37658"
0,TRUE,FALSE,14,7007,1001512,"39.20895","18/01/2023","-8.62871"
0,TRUE,FALSE,5,7009,1001514,"39.80047","18/01/2023","-8.09494"
