"id","identifier","googlePlaceId","lat","lng","name","country","city","province","streetAndNumber","zip","businessId","addressExtra"
2491270,"03696","ChIJjZmF8hDJHg0RDfYMJCf4vf4",38.68908939,-9.30994198,"Continente Bom Dia Santo Amaro de Oeiras","PT","Oeiras","Lisboa","Avenida Duarte Pacheco 25","2780-316",209756,NA
2538819,"07695","ChIJMWXqDJ0zGQ0RU5FFsYffqnU",38.78263,-9.117775,"Continente Modelo Portela Ralis","PT","Portela","Lisboa","Avenida do Ralis","2685-252",209756,NA
2594063,"06173","ChIJlfRLNgLNHg0RS_J_M3zk3PY",38.73869864,-9.22312046,"Continente Bom Dia Alfragide","PT","Amadora","Lisboa","Praceta das Flores 48-49","2610-001",209756,NA
2608868,"04573","ChIJXckljdMzGQ0R3hdXuB2H4AA",38.7237927,-9.1400047,"Continente Bom Dia Gomes Freire","PT","Lisboa","Lisboa","Rua Gomes Freire 5B","1150-175",209756,NA
2633269,"03191","ChIJnTxChK4jEA0RBvAj4mmrEDs",37.19156175,-7.42972436,"Continente Modelo Vila Real de Santo António","PT","Vila Real de Santo António","Faro","N125","8900-211",209756,"Avenida Salgueiro Maia - Lugar das Hortas"
2633281,"07031","ChIJjQk67CCVGQ0RoJQP6GS0QK4",38.64959783,-8.21903991,"Continente Bom Dia Montemor-o-Novo","PT","Montemor-o-Novo","Évora","Avenida Gago Coutinho","7050-160",209756,"Rua Lavre"
2645002,"01715","ChIJD0UE1_GjIg0Rv_ojJqC1ZnE",39.80069,-8.093185,"Continente Bom Dia Sertã","PT","Sertã","Castelo Branco","Praceta Pinhal 69","6100-751",209756,NA
2761492,"09587","ChIJIROdtUDNHg0RBTLaG_IvGjE",38.7547,-9.253187,"Continente Bom Dia Queluz Paiva Couceiro","PT","Queluz","Lisboa","Rua Dom Fernando II 19","2745-190",209756,NA
2845877,"07012","ChIJ_yw1UbMBJQ0RLmthwG44-48",41.65525,-8.43139,"Continente Bom Dia Vila Verde","PT","Vila Verde","Braga","M1196","4730-180",209756,"Av. Dr. António Ribeiro Guimarães"
2887616,"04678","ChIJf89ouMZlJA0RSX_ggPn5fFM",41.1556041,-8.62929724,"Continente Bom Dia Bom Sucesso","PT","Porto","Porto","Praça do Bom Sucesso 74-90","4150-145",209756,NA
2908913,"05153","ChIJYfyGukpTJA0RBmlA0JZtd1c",41.537889,-8.622722,"Continente Bom Dia Barcelos","PT","Barcelos","Braga","Av São José - Quinta do Benfeito, Retail Park","4750-234",209756,NA
2925869,"07116","ChIJT_WtAPEzGQ0RRNebr9IedWE",38.73552746,-9.14146284,"Continente Labs","PT","Lisboa","Lisboa","Rua Dona Filipa de Vilhena 2","1000-135",209756,NA
2926005,"05749","ChIJB8fKihyvGg0RwAKVR86ILUo",37.157887,-7.8900604,"Continente Bom Dia São Brás de Alportel","PT","São Brás de Alportel","Faro","Avenida da Liberdade 8150","8150-101",209756,NA
2931716,"04251","ChIJA1tclvSbJA0Rk1izMP3zMFU",41.13153291,-8.29431164,"Continente Bom Dia Cabeça Santa","PT","Penafiel","Porto","Avenida de Cabeça Santa","4575-126",209756,"Rua do cepo Cabeça Santa n106"
2971967,"06989","ChIJz71ASEJTBQ0RqYwDI7Op_GM",37.01361444,-7.92554636,"Continente Bom Dia Faro Bom João","PT","Faro","Faro","Av. Aníbal Cruz Guerreiro 1","8000-016",209756,NA
3084862,"07780","ChIJRbpP1cAzGQ0RuZTZXgWXWrQ",38.7419547,-9.1472521,"Continente Bom Dia Lisboa (Av. República)","PT","Lisboa","Lisboa","Avenida República 81B","1050-040",209756,NA
3099262,"04964","ChIJ1dN7zqRDJA0RLWiS9Gvv9ys",41.30001526,-8.70858221,"Continente Bom Dia Vila do Conde (Outlet)","PT","Vila Chã","Porto","Rue Fonte Cova","4485-592",209756,"Modivas"
3109956,"04960","ChIJwZ_OIZfbPA0RdmYOdBbGako",40.493,-7.6014986,"Continente Bom Dia Gouveia","PT","Gouveia","Guarda","Avenida Serra da Estrela","6290-370",209756,NA
